asset_id,file,usage,owner,creator,source,licence,consent_release,file_hash_sha256,dimensions,duration,format,accessibility_text,focal_point,approval_status,generated_edited_disclosure,expiry,replacement_history
asset-4dd4743a33df,assets/panels/08-ftn-radio.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,28d70d8517b530d0aace95abcf4a7f80f2c50a43c228440d0d5d7e1b93bcad44,280×253,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-2f085c29822d,assets/panels/09-ftn-screen.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,e5b9afdd62f96890f38f0f040cf1b9efa4d89dcbc507199ccb6313dcbf134349,284×253,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-4c7ef660c4f5,assets/panels/10-ftn-opportunities.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,7b5ad6123e53d2d126377cd6c181e382a7d3a37dcb41e250122b2bc863f1a080,309×253,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-dec50cc23074,assets/panels/11-ftn-love.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,1d125ba282df10b74abb8003ee812c9ede4e9ddef09cbb464f4f30fc03ae1c6f,737×164,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-d867405af6c0,assets/panels/12-display-network.png,applications/index.html | js/product-registry-data.js,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,8abb88553479f0b91d6fa1db1bbccc8ea5955259ba5cf14ba49add62a19e9944,749×164,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-8ac2839c915e,assets/social/og-community-connect-v1.jpg,community-connect/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,229df7ac891bfa185037f225ec4c1ea692487e018f1d8bee8d6ba5b5fc10f5d6,1200×630,not applicable / not measured,JPG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-67659e8a085c,assets/social/og-face-the-nation.jpg,CLAUDE.md | RELEASE_NOTES_v1.4.md | facethenation/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,9195c2699c8b5bc250c2edfdfde19f1cc52cd42a9981fa83448186aad5ae60a6,1200×630,not applicable / not measured,JPG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-90865fdf981f,assets/social/og-ftn-platform.jpg,404.html | about/index.html | accessibility/index.html | applications/index.html | contact/index.html | display-network/index.html | dj-tube/creator/index.html | dj-tube/index.html | events/index.html | glossary/index.html | health/index.html | ibis-ai/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,0d344ac5e7d6c623b5dc89c2b092db0bb0fc300d50814d0e676ba9b3dffba28d,1200×630,not applicable / not measured,JPG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-f1bec3c9d305,assets/social/og-ftn-riddim.jpg,riddim/index.html,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,1ef93ec505666f7d4ddaa999c728e07b64d0e9f68c176069a191c4c6c1219a85,1200×630,not applicable / not measured,JPG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-37db5e848fcf,assets/social/og-image-default.png,CLAUDE.md | tests/functional-release.mjs,ownership confirmation pending,creator confirmation pending,repository baseline; original source record pending,licence evidence pending,not applicable to icon,aff8ac3f54265a7bd442ce2f6ba6d5e3575958a8ab6127f6fb4807bb3a4c4eab,1200×630,not applicable / not measured,PNG,assigned at point of use; audit required,centre unless point-of-use CSS overrides,existing use preserved; provenance/visual owner review pending,unknown / not generated by this build,none recorded,none recorded
asset-ne-caribbean,assets/maps/caribbean-natural-earth.svg,index.html,public domain,Natural Earth contributors,Natural Earth 1:10m Admin 0 map units,public domain,not applicable,31b0fda62dd77aa4dec7eb4e6da41a60c0f64f5d25726e060ccbfb4fac7e92b3,1100×640 viewBox,not applicable,SVG,Map of the Caribbean archipelago,centre desktop; 58% 58% mobile,approved for production; geometry-derived regional atmosphere,generated locally from verified public-domain source,none recorded,first FTN Surface System release
asset-ftn-approved-ecosystem,assets/home/ftn-approved-caribbean-ecosystem.png,index.html | service-worker.js,RealityArtTV Media,founder-approved FTN visual source,founder-approved homepage reference,FTN-owned approved visual,not applicable,3a9c5a50846084d2a5bcf851b55ab21873b869666a98dcfdc7279705d12db324,1536×1024,not applicable,PNG,Decorative Caribbean island network with an elegant purple FTN ibis,desktop visual master; protected map and ibis region on mobile,approved for production; exact supplied visual preserved,source image used unchanged; live interface text remains HTML,none recorded,replaces flat map mask and hand-built SVG ibis from v2.3.0
